Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.104714529659369,-0.0756583061678266,0.0595111932667927,0,0,0,2.039657590176,0.00338377050787852,-5.14705744934887E-12,3.78293258758657E-07,0.00557048223435682,-1.31249974376653E-11,0.00865851242295108,0,0,0,0,0,0,package://model E/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model E/meshes/base_link.STL,,20x20 70-6;20x20 290-4;20x20 70-7;20x20 190-5;20x20 70-8;20x20 150-1;20x20 290-3;20x20 200-2;20x20 200-1;20x20 190-4;20x20 190-3;plate-4;plate-5;20x20 70-5;20x20 70-9;20x20 190-6;20x20 70-11;20x20 70-12;20x20 70-13;plate1-1;suspension-3;suspension-4;suspension-1;suspension-2;part3-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_wheel_suspension,0.00153023333982288,-0.00499966029225226,-1.33226762955019E-14,0,0,0,0.0239463719407107,1.07207044697232E-06,-6.52438708151201E-21,2.00707998982445E-21,5.97423909283024E-06,-9.43965672332998E-23,5.30127484486976E-06,0,0,0,0,0,0,package://model E/meshes/left_front_wheel_suspension.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model E/meshes/left_front_wheel_suspension.STL,,suspension2-1,Origin_left_front_wheel_suspension_joint2,Axis_left_front_wheel_suspension_joint,left_front_wheel_suspension_joint,prismatic,-0.0434986852059649,0.00999781679693001,-0.0309981565046646,1.5707963267949,0,-3.14159265358979,base_link,0,1,0,1000,1000,0,0.008,,,,,,,,
left_front_wheel_motor,-2.79575138499299E-05,0.00194907944399025,-0.012936461929611,0,0,0,0.0411670033844285,1.15503164126153E-05,-2.96411876568508E-09,-1.64845302072202E-08,6.93803138202262E-06,1.56454773172927E-07,9.57898906372989E-06,0,0,0,0,0,0,package://model E/meshes/left_front_wheel_motor.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://model E/meshes/left_front_wheel_motor.STL,,Dynamixel MX-28-18,Origin_left_front_wheel_motor_joint2,Axis_left_front_wheel_motor_joint,left_front_wheel_motor_joint,fixed,0.000300000000000022,-0.021785446729879,-0.00999999999999998,3.14159265358979,0,-1.5707963267949,left_front_wheel_suspension,0,0,0,3.1,7,,,,,,,,,,
left_front_wheel,0.0158391990185285,6.93889390390723E-17,3.1641356201817E-15,0,0,0,0.22822169800504,0.0007892115763339,-1.29511436049654E-20,3.9605469886601E-18,0.000410429434291421,-3.74864036442255E-19,0.00041042943429142,0,0,0,0,0,0,package://model E/meshes/left_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model E/meshes/left_front_wheel.STL,,Wheel_3dprintABS-12,Origin_left_front_wheel_joint3,Axis_left_front_wheel_joint3,left_front_wheel_joint,continuous,0,0.0133000000000001,-0.0247499999999968,1.56496784847997,1.5707963267949,0,left_front_wheel_motor,1,0,0,3.1,7,,,,,,,,,,
right_front_wheel_suspension,0.00153023333982283,-0.0049996602922521,-1.33781874467331E-14,0,0,0,0.0239463719407107,1.07207044697232E-06,-5.83575922156161E-21,1.70935421665491E-21,5.97423909283023E-06,5.94336006908878E-23,5.30127484486975E-06,0,0,0,0,0,0,package://model E/meshes/right_front_wheel_suspension.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model E/meshes/right_front_wheel_suspension.STL,,suspension2-2,Origin_right_front_wheel_suspension_joint2,Axis_right_front_wheel_suspension_joint,right_front_wheel_suspension_joint,prismatic,-0.0434986852059649,-0.16000218320307,-0.0309981565046646,1.5707963267949,0,-3.14159265358979,base_link,0,1,0,1000,1000,0,0.008,,,,,,,,
right_front_wheel_motor,-2.79575138501173E-05,0.00194907944399023,-0.0129364619296377,0,0,0,0.0411670033844285,1.15503164126153E-05,-2.96411876568283E-09,-1.64845302071876E-08,6.93803138202261E-06,1.56454773172928E-07,9.57898906372989E-06,0,0,0,0,0,0,package://model E/meshes/right_front_wheel_motor.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://model E/meshes/right_front_wheel_motor.STL,,Dynamixel MX-28-19,Origin_right_front_wheel_motor_joint2,Axis_right_front_wheel_motor_joint,right_front_wheel_motor_joint,fixed,0.000299999999999967,-0.021785446729879,0.01,0,0,1.5707963267949,right_front_wheel_suspension,0,0,0,3.1,7,,,,,,,,,,
right_front_wheel,0.0158391990185559,1.38777878078145E-16,2.22044604925031E-16,0,0,0,0.22822169800504,0.0007892115763339,-1.33620923705498E-20,-1.31866672038372E-18,0.000410429434291421,-3.4423948372007E-19,0.00041042943429142,0,0,0,0,0,0,package://model E/meshes/right_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model E/meshes/right_front_wheel.STL,,Wheel_3dprintABS-13,Origin_right_front_wheel_joint3,Axis_right_front_wheel_joint3,right_front_wheel_joint,continuous,0,0.0133,-0.02475,1.57662480510982,1.5707963267949,0,right_front_wheel_motor,1,0,0,3.1,7,,,,,,,,,,
camera,0.0517232586747391,0.00370936546682629,-0.0103289561839309,0,0,0,0.0436119950287127,4.2947913359115E-06,8.85791114043182E-10,1.01813691672184E-09,2.21058141232449E-05,2.17579681215416E-08,2.35707058046401E-05,0,0,0,0,0,0,package://model E/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model E/meshes/camera.STL,,Webcam_C920-1,Origin_camera,Axis_camera,camera,fixed,0.0014999999999995,-0.125209163861569,0.0949978167969171,-1.57662480510982,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
myrio,-5.92450278861234E-05,-0.0201677348757046,0.000391328969370219,0,0,0,0.272795037150938,0.000426495369649312,-1.33941181513965E-07,-1.32777557424164E-06,0.000584026336355448,-9.7817502168282E-08,0.000183119671370759,0,0,0,0,0,0,package://model E/meshes/myrio.STL,0.149019607843137,0.149019607843137,0.149019607843137,1,0,0,0,0,0,0,package://model E/meshes/myrio.STL,,NI myRIO2-2,Origin_myrio,Axis_myrio,myrio,fixed,-0.132328685205965,-0.0607515419551877,0.106997816796917,1.5707963267949,0,-3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
intel,-5.69397911928671E-05,0.0158670533538889,0.0550835448418937,0,0,0,0.399542896483029,0.00043202912775909,-1.83383124387173E-07,-3.17164968943055E-07,0.000836965270424737,4.77447001830876E-07,0.000473016843888514,0,0,0,0,0,0,package://model E/meshes/intel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model E/meshes/intel.STL,,Intel NUC-2,Origin_intel,Axis_intel,intel,fixed,-0.075998685205965,-0.137016341790378,-0.032,1.5707963267949,0,-3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
nvidia,-0.0188105898914398,0.010249818915933,-0.167172080419149,0,0,0,0.240394331617002,0.000357684284600866,-3.61913558195585E-09,-2.92942384657882E-07,0.000746477971691014,4.03533275235886E-06,0.000399399110650853,0,0,0,0,0,0,package://model E/meshes/nvidia.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model E/meshes/nvidia.STL,,NVDIA_Jetson-4,Origin_nvidia,Axis_nvidia,nvidia,fixed,-0.289203685205967,-0.0544296391241932,0.0291347763919735,-1.58245328342473,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
"pusher ",1.49052246378734E-07,-0.0571598291229854,0.0249999642066829,0,0,0,0.263435595666134,0.000635540559778356,-1.38140656260104E-09,2.75184484310105E-11,0.00115953576629363,-1.30019557403535E-19,0.00168531125573657,0,0,0,0,0,0,package://model E/meshes/pusher .STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model E/meshes/pusher .STL,,pusher (1)-1,"Origin_pusher ","Axis_pusher ","pusher ",fixed,0.00132898822388253,-0.0747141525330136,0,-3.14159265358979,0,-1.5707963267949,base_link,0,0,0,0,0,0,0,,,,,,,,
camera2,0.0517232586747381,0.0237090257561929,0.00928761272236955,0,0,0,0.0436119950287125,4.29479133591148E-06,8.85791114052883E-10,1.0181369167975E-09,2.21058141232446E-05,2.17579681215359E-08,2.35707058046397E-05,0,0,0,0,0,0,package://model E/meshes/camera2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model E/meshes/camera2.STL,,Webcam_C920-2,Origin_camera2,Axis_camera2,camera2,fixed,0,-0.125209163861569,0.179995633593833,-1.57662480510982,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
left_rear_wheel_suspension,0.00153023333982272,-0.00499966029225212,-1.33226762955019E-14,0,0,0,0.0239463719407108,1.07207044697232E-06,7.66755068806029E-21,7.36525819016063E-22,5.97423909283024E-06,1.98119697632812E-22,5.30127484486976E-06,0,0,0,0,0,0,package://model E/meshes/left_rear_wheel_suspension.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model E/meshes/left_rear_wheel_suspension.STL,,suspension2-4,Origin_left_rear_wheel_suspension_joint2,Axis_left_rear_wheel_suspension_joint,left_rear_wheel_suspension_joint,prismatic,-0.303498685205965,0.0099991315909651,-0.0310931530243717,1.5707963267949,0,-3.14159265358979,base_link,0,1,0,1000,1000,0,0.008,,,,,,,,
